B2,B3,B4,B5,B6,B7,B8,B8A,lat,lon
789,1046,990,1469,2882,3176,3252,3468,17.2,78.4
794,1092,1092,1713,2729,3021,3124,3344,17.2,78.4
720,1007,984,1648,2793,3155,3152,3394,17.2,78.4
1000,1238,1360,1742,2553,2756,3019,3073,17.2,78.4
936,1184,1310,1560,2221,2452,2618,2689,17.2,78.4
860,1086,1184,1376,2212,2455,2618,2698,17.2,78.4
938,1220,1396,1664,2121,2365,2610,2619,17.2,78.4
862,1148,1272,1582,2168,2422,2664,2708,17.2,78.4
1144,1390,1530,1798,2197,2461,2554,2678,17.2,78.4
1076,1320,1446,1700,2198,2437,2526,2679,17.2,78.4
1112,1414,1628,1724,2170,2332,2711,2643,17.2,78.4
1062,1386,1564,1689,2152,2399,2754,2687,17.2,78.4
1022,1340,1720,1818,2193,2484,2612,2755,17.2,78.4
933,1242,1548,1788,2205,2419,2588,2740,17.2,78.4
1148,1426,1724,1901,2203,2408,2664,2702,17.2,78.4
1060,1324,1578,1767,2185,2441,2687,2721,17.2,78.4
926,1204,1452,1726,2002,2265,2422,2476,17.2,78.4
871,1140,1354,1563,2038,2197,2384,2448,17.2,78.4
1238,1484,1756,2037,2345,2623,2764,2805,17.2,78.4
1186,1414,1716,1900,2334,2582,2818,2819,17.2,78.4
1218,1448,1770,1995,2286,2629,2786,2920,17.2,78.4
1082,1354,1644,1964,2341,2614,2798,2944,17.2,78.4
1398,1686,1888,2188,2581,2835,2880,3073,17.2,78.4
1326,1620,1786,2106,2526,2740,2852,2991,17.2,78.4
1196,1458,1798,2011,2268,2453,2786,2715,17.2,78.4
1094,1382,1676,1900,2214,2510,2746,2687,17.2,78.4
1250,1542,1874,2097,2412,2657,2742,2884,17.2,78.4
1238,1472,1788,1971,2329,2532,2750,2794,17.2,78.4
1232,1566,1970,2047,2429,2648,2743,2994,17.2,78.4
1242,1568,1956,2115,2421,2686,2797,2951,17.2,78.4
1360,1678,2148,2323,2597,2906,3054,3148,17.2,78.4
1266,1578,2030,2155,2580,2815,3008,3114,17.2,78.4
1158,1466,1932,2265,2457,2808,2912,3144,17.2,78.4
1094,1388,1822,2137,2502,2776,2898,3133,17.2,78.4
1324,1632,2038,2295,2525,2678,2942,2979,17.2,78.4
1202,1488,1998,2411,2655,2936,2956,3138,17.2,78.4
1128,1410,1910,2215,2633,2863,2942,3256,17.2,78.4
590,768,874,1007,1224,1295,1444,1356,17.2,78.4
541,736,843,1196,1578,1701,1560,1837,17.2,78.4
1284,1542,1860,2021,2538,2857,2900,3040,17.2,78.4
1160,1428,1730,2035,2620,2912,2980,3176,17.2,78.4
1464,1702,2084,2290,2666,2859,3008,3158,17.2,78.4
1326,1566,1986,2221,2671,2889,3051,3225,17.2,78.4
1466,1766,2040,2403,2639,2834,3152,3132,17.2,78.4
1284,1624,1906,2187,2721,3027,3168,3237,17.2,78.4
1392,1612,1932,2234,2688,2953,3046,3256,17.2,78.4
1152,1498,1848,2137,2455,2778,2934,3117,17.2,78.4
1062,1360,1700,2014,2436,2691,2966,2957,17.2,78.4
916,1260,1522,2019,2582,2641,2535,2935,17.2,78.4
836,1192,1412,2044,2621,2873,2634,3093,17.2,78.4
991,1098,1080,1287,2033,2302,2338,2587,17.2,78.4
930,1044,982,1249,2125,2479,2376,2665,17.2,78.4
1000,1338,1588,2068,2853,3117,3312,3553,17.2,78.4
844,1222,1426,1954,2979,3431,3432,3742,17.2,78.4
1262,1572,1850,2181,2786,3174,3156,3466,17.2,78.4
1134,1440,1670,2191,2857,3167,3204,3453,17.2,78.4
1340,1594,1902,2247,2757,2933,3140,3263,17.2,78.4
1198,1508,1790,2264,2853,3072,3090,3380,17.2,78.4
2220,2258,2256,2661,3233,3475,3628,3634,17.2,78.4
1322,1710,2044,2463,2765,3010,3042,3271,17.2,78.4
1166,1542,1854,2310,2825,3050,3050,3344,17.2,78.4
1418,1694,2082,2386,2876,3099,3120,3271,17.2,78.4
1306,1606,1965,2394,2884,3197,3144,3425,17.2,78.4
1152,1360,1498,1640,2953,3345,3280,3767,17.2,78.4
